Fecha;Contaminante;Tipo;Clase;Muestra;Dirección;Analista;Concentración (ppm);Latitud;Longitud;
02/05/25;2,4-D;Agroquímico;Herbicida Ácido;Mejillón;Rio Negro;Nicolas;0,01000;-32818402;-56477362;
02/05/25;Carbofuran;Agroquímico;Inseticida;Mejillón;Rio Negro;Nicolas;0,00020;-32818402;-56477362;
02/05/25;Imidacloprid;Agroquímico;Acaricida;Mejillón;Rio Negro;Nicolas;0,05000;-32818402;-56477362;
02/05/25;Spinosad A;Agroquímico;Piretróide;Mejillón;Paysandú;Nicolas;0,04000;-32339996;-58112483;
02/05/25;Plomo;Inorgânico;Metal Pesado;Mejillón;Paysandú;Nicolas;0,50000;-32339996;-58112483;
02/05/25;Mercury;Inorgânico;Metal Pesado;Mejillón;Paysandú;Nicolas;1,00000;-32339996;-58112483;
02/05/25;Bisfenol A;Plastico;Plastificante;Mejillón;Paysandú;Nicolas;1,20000;-32339996;-58112483;
02/05/25;Ibuprofeno;Farmaco;Analgésico;Mejillón;Paysandú;Nicolas;1,40000;-32339996;-58112483;
02/05/25;Microplastico;Plastico;Microplastico;Mejillón;Paysandú;Nicolas;0,50000;-32339996;-58112483;
07/11/25;2,4-D;Agroquímico;Herbicida Ácido;Abeja;Rocha;Florencia;0,90000;-34463049;-54359203;
07/11/25;Carbofuran;Agroquímico;Inseticida;Abeja;Rocha;Florencia;0,43000;-34463049;-54359203;
07/11/25;Imidacloprid;Agroquímico;Acaricida;Abeja;Rocha;Florencia;0,32400;-34463049;-54359203;
07/11/25;Spinosad A;Agroquímico;Piretróide;Abeja;Rocha;Florencia;0,75800;-34463049;-54359203;
07/11/25;Plomo;Inorgânico;Metal Pesado;Abeja;Durazno;Florencia;2,10000;-33391941;-56437150;
07/11/25;Mercury;Inorgânico;Metal Pesado;Abeja;Durazno;Florencia;2,30000;-33391941;-56437150;
07/11/25;Bisfenol A;Plastico;Plastificante;Abeja;Durazno;Florencia;0,56000;-33391941;-56437150;
07/11/25;Ibuprofeno;Farmaco;Analgésico;Abeja;Durazno;Florencia;0,67300;-33391941;-56437150;
07/11/25;Microplastic;Plastico;Microplastico;Abeja;Durazno;Florencia;0,99000;-33391941;-56437150;
20/01/26;2,4-D;Agroquímico;Herbicida Ácido;Mejillón;Paysandú;Nicolas;1,00000;-32339996;-58112483;
20/01/26;Carbofuran;Agroquímico;Inseticida;Mejillón;Paysandú;Nicolas;0,10000;-32339996;-58112483;
20/01/26;Imidacloprid;Agroquímico;Acaricida;Mejillón;Paysandú;Nicolas;10,00000;-32339996;-58112483;
20/01/26;Spinosad A;Agroquímico;Piretróide;Mejillón;Paysandú;Nicolas;0,12000;-32339996;-58112483;
20/01/26;Plomo;Inorgânico;Metal Pesado;Mejillón;Rio Yi;Nicolas;3,20000;-33213068;-53802863;
20/01/26;Mercury;Inorgânico;Metal Pesado;Mejillón;Rio Yi;Nicolas;0,10000;-33213068;-53802863;
20/01/26;Bisfenol A;Plastico;Plastificante;Mejillón;Rio Yi;Nicolas;0,54000;-33213068;-53802863;
20/01/26;Ibuprofeno;Farmaco;Analgésico;Mejillón;Rio Yi;Nicolas;0,43000;-33213068;-53802863;
20/01/26;Microplastic;Plastico;Microplastico;Mejillón;Rio Yi;Nicolas;0,02000;-33213068;-53802863;
14/04/26;2,4-D;Agroquímico;Herbicida Ácido;Abeja;Rocha;Florencia;0,04000;-34463049;-54359203;
14/04/26;Carbofuran;Agroquímico;Inseticida;Abeja;Rocha;Florencia;0,06000;-34463049;-54359203;
14/04/26;Imidacloprid;Agroquímico;Acaricida;Abeja;Rocha;Florencia;0,02000;-34463049;-54359203;
14/04/26;Spinosad A;Agroquímico;Piretróide;Abeja;Rocha;Florencia;0,01000;-34463049;-54359203;
14/04/26;Plomo;Inorgânico;Metal Pesado;Abeja;Rocha;Florencia;0,01000;-34463049;-54359203;
14/04/26;Mercury;Inorgânico;Metal Pesado;Abeja;Paysandú;Florencia;0,05000;-32339996;-58112483;
